Name,Album,Artist
"Aaj Phir (From ""Hate Story 2)",Love Dose Arijit Singh,Arijit Singh
Heeriye Lofi Remix (feat. Arijit Singh),Heeriye Lofi Remix (feat. Arijit Singh),Jasleen Royal
Ilahi,Yeh Jawaani Hai Deewani,Pritam
Naina,Dangal,Pritam
Oonchi Oonchi Deewarein,Yaariyan 2,Manan Bhardwaj
Wafa Ne Bewafai,Teraa Surroor,Himesh Reshammiya
Sawan Aaya Hai,Creature 3D,Various Artists
Suno- Na Sangemarmar,Youngistaan,Various Artists
Hai Dil Ye Mera,Hate Story 2,Various Artists
"Samjhawan (From ""Humpty Sharma Ki Dulhania"")",Yours Truly Arijit,Arijit Singh
Phir Mohabbat,Murder 2,Harshit Saxena
Dil Royi Jaye,De De Pyaar De,Various Artists
Sun Le Zara,Singham Returns,Various Artists
"Tera Chehra (From ""Sanam Teri Kasam"")",Sanam Teri Kasam (Original Motion Picture Soundtrack),Himesh Reshammiya
"Musafir Reprise (From ""Sweetiee Weds Nri"")","Musafir Reprise( From ""Sweetiee Weds Nri"")",Palash Muchhal
"Shayad (From ""Love Aaj Kal"")","Shayad (From ""Love Aaj Kal"")",Pritam
"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",Arijit Singh
Bulleya - Reprise,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Pritam
Phir Kabhi,M.S.Dhoni - The Untold Story,Amaal Mallik
Roke Na Ruke Naina,Badrinath Ki Dulhania,Various Artists
Dil Ke Paas (Indian Version),Dil Ke Paas (Indian Version),Arijit Singh
"Chal Wahan Jaate Hain (From ""Chal Wahan Jaate Hain"")",Groove With Arijit Singh,Arijit Singh
"Rahogi Meri (From ""Love Aaj Kal"")","Rahogi Meri (From ""Love Aaj Kal"")",Pritam
Tera Yaar Hoon Main,Sonu Ke Titu Ki Sweety,Various Artists
"Dekh Lena (From ""Tum Bin 2"")",Loveholic Arijit Singh,Arijit Singh
Milne Hai Mujhse Aayi,Aashiqui 2,Mithoon
Aasan Nahin Yahan,Aashiqui 2,Mithoon
Meri Aashiqui,Aashiqui 2,Mithoon
